Studio,URL,Location,Disciplines
MetaLab,https://www.metalab.com/careers,"Victoria, Vancouver, Remote, Canada","Product Design, UI/UX, Engineering, Mobile"
Instrument,https://www.instrument.com/join-us,"Portland, New York, Los Angeles, USA","Branding, Interactive/Digital, Strategy, Engineering"
BUCK,https://buck.co/careers,"Los Angeles, New York, London, Amsterdam, Sydney","Motion, 3D, Branding, Animation, Creative Direction"
Work & Co,https://work.co/company,"Brooklyn, Sao Paulo, Copenhagen, Belgrade","Design, Technology, Product Strategy, UX/UI"
BASIC/DEPT,https://www.basicagency.com/careers,"San Diego, New York, San Francisco, USA","Digital Products, Branding, E-Commerce, Experience Design"
ustwo,https://ustwo.com/join-us,"London, Malmo, Lisbon, Tokyo, England, Sweden, Portugal, Japan","Digital Products, UX Design, Games, Mobile Apps"
Pentagram,https://www.pentagram.com/careers,"New York, London, Austin, Berlin","Graphic Design, Branding, Identity, Editorial"
Fantasy Interactive,https://fantasy.co/careers,"New York, San Francisco, Miami, London","UI/UX Design, Product Design, Motion, AI"
Huge,https://www.hugeinc.com/careers,"Brooklyn, London, Toronto, Remote, USA","Design, Strategy, Creative Technology, Brand Experiences"
Media.Monks,https://media.monks.com/careers,"Amsterdam, Los Angeles, London, Global","Digital Production, Motion, Social, Technology"
